1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Random,Fibrous,Smooth,Copper,N/A,Smooth,Brown,N/A,Smooth,Green,N/A,Broad,Branch Points & Branch Points,Lanceolate (Pointed at Both Ends),Serate,Sticky,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Waxy,Brown,N/A,Seeds,Fruit,Animal,Compound,Cone,Avg. (1-5cm),Blade,Velvety,Branch Points,Musky,Other,Scaly,Copper,Solid & Mottled,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Deodorant,Medicinal / Other,Cold Extract,Balsam,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Decoction,Antiscorbutic,Medicinal / Other,Fomentation,Narcotic,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Waxy,Green,N/A,Smooth,Green,N/A,Waxy,White,N/A,Broad,Branch Points,Lanceolate (Pointed at Both Ends),Undulate,Scaly,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Waxy,Green,N/A,Suckers,Fruit,Animal,Other,Bell,Huge (>10cm),Curly,Sticky,Terminal,Sweet,Other,Smooth,Green,Blushed,1-3,0,Symbiotic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Cold Compress,Mucilaginous,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Radial,Tap,Waxy,Grey,N/A,Waxy,Silver,N/A,Smooth,Brown,N/A,Compound,Regular Interval,Acuminate (Taper to Long Point),Dentate,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Waxy,Green,N/A,Suckers,Fruit,Water,Spray,Bell,Huge (>10cm),Toothed & Wavy,Veined & Scaly,Terminal,Musky,Other,Waxy,Green,Phases,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Medicinal / Other,Crushed,Aromatic,Edible,Blanched,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Fomentation,Emetic,Medicinal / Other,Tincture,Emmenagogue,
Herbaceous,Terrestrial,Plains / Savannah & Marsh / Swamp / Bog,Very Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Fibrous,Waxy,Blue,N/A,Smooth,Gold,N/A,Smooth,White,N/A,Compound,Random Interval,Obcordate (Heart Stem at Point),Serrulate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Round,Velvety,Terminal,Sweet,Poly-Annual (2-7 Years),Waxy,Green & Brown,Stripes,10+,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Cold Compress,Caustic,Edible,Blanched,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Large Patch (120+),Large (1-10m),Stem / Trunk,Ordered,Tap,Rough,White,N/A,Scaly,Black & Silver,Patches,Flaky,Green,N/A,Compound,Terminal,Obovate (Egg Narrow at Base),Spiny,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,Yellow,N/A,Suckers,Nut,Animal,Pairs,Complex,Avg. (1-5cm),Round,Hairy,Branch Points,Other / Specific,Poly-Annual (2-7 Years),Rough,Violet,Mottled,10+,1,Photo / Chemo-Synthetic,Gravity,Sentient,Instinctual,Nutritious / Tasty,Raw,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Rubbed,Analgesic,Medicinal / Other,Ground,Antiscorbutic,
Herbaceous,Aquatic,Fresh Water,Very Common,Solitary (1-2),Small (5-25cm),Multiple Stems / Trunks,Random,Fibrous,Smooth,Copper,N/A,Other,Brown,N/A,Smooth,Silver,N/A,Broad,Terminal,Obtuse (Bluntly Tipped),Crenate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Smooth,Brown,N/A,Seeds,Grain,Animal,Spray,Spike,Avg. (1-5cm),Wavy,Veined,Regular Interval,Musky,Poly-Annual (2-7 Years),Smooth,Black,Blushed,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Crushed,Antipyretic,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Antiemetic,Medicinal / Other,Rubbed,Depurative,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Gold,N/A,Waxy,Brown,N/A,Smooth & Smooth,Green,N/A,Broad,Regular Interval,Truncate (Squared off Apex),Undulate,Smooth,None,Pairs (2),Waxy,Green,N/A,Suckers,Spore,Water,Other,Disc,Small (5-10mm),Blade,Hairy,Terminal,Sweet,Perennial (Yearly),Smooth,Silver,Spotted,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Bath,Cathartic,
Fungus,Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Tiny (<5cm),Colonial Mass,None,Rhizoid,Scaly,Orange,N/A,Flaky,Green,N/A,Smooth,Violet & Brown,Stripes,Compound,Terminal,Hastatae (Triangular Basal Lobes),Undulate,Waxy,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds,Other,Other,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Large Patch (120+),Small (5-25cm),Creeper Vine,Radial,Tap,Smooth,Brown,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Random Interval,Ovate (Egg Wide at Base),Sinuate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Waxy,Yellow,N/A,Seeds,Spore,Wind,Bunches,Cone,Avg. (1-5cm),Blade,Velvety,Random Interval,Sweet,Perennial (Yearly),Other,Yellow & Brown,Phases,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Re-Roll,Emollient,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Nephretic,Medicinal / Other,Cold Compress,Carminative,
Herbaceous,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Smooth,Grey,N/A,Smooth,Grey,N/A,Smooth,Orange,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base),Sinuate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Waxy,Brown,N/A,Suckers,Fruit,Animal,Pairs,Complex,Small (5-10mm),Blade,Scaly,Regular Interval,Sweet,Poly-Annual (2-7 Years),Smooth,White,Iridescent,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Syrup,Astringent,Non-Edible,N/A,N/A,Medicinal / Other,Infusion,Specific,N/A,N/A,N/A,Medicinal / Other,Powder,Emmenagogue,Nutritious / Tasty,Roasted,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Large Patch (120+),Large (1-10m),Multiple Stems / Trunks,Random,Tap,Smooth,Green,N/A,Smooth,Green,N/A,Waxy,White,N/A,Broad,Random Interval,Pedate (Palmate Divided Latteral Lobes),Undulate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Flaky,Green,N/A,Seeds,Fruit,Animal,Other,Sphere,Tiny (<5mm),Feathery,Smooth,Terminal & Terminal,Sweet,Annual (Once),Rough,Green,Solid,4-9,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Juice,Mysical / Other,Medicinal / Other,Rubbed,Hypnotic,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk & Stem / Trunk,Random,None,Rough,Green,N/A,Waxy,Yellow,N/A,Smooth,Green,N/A,Broad,Terminal,Linear (Parallel Margins & Elongate),Crenate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds,Spore,Animal,Spray,Bell,Small (5-10mm),Curly & Thread,Hairy,Terminal,Sweet,Annual (Once),Rough,Gold,Luminescent,1-3,5+,Decay,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Tincture,Aphrodesiac,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Sedative,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Random,Bulb,Smooth,Green,N/A,Smooth,Brown,N/A,Other,Green,N/A,Broad,Random Interval,Lanceolate (Pointed at Both Ends),Serate & Crenate,Hairy,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Blue,N/A,Seeds,Fruit,Water,Bunches,Bell,Tiny (<5mm),Curly,Sticky,Terminal,Foul,Annual (Once),Rough,White,Blushed,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Silver,N/A,Smooth,Brown,N/A,Waxy,Copper,N/A,Broad,Branch Points,Orbicular (Circular),Spiny,Scaly,None,Whorls (3-5),Rough,White,N/A,Suckers,Nut,Gravity,Pairs,Bell,Avg. (1-5cm),Feathery,Dusty,Random Interval,Sweet,Annual (Once),Smooth,Red,Blushed,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Vapor / Smoke,Anaphrodisiac,Medicinal / Other,Tincture,Hydragogue,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,
Woody,Sub-Terrestrial,Plains / Savannah,Common,Solitary (1-2),Large (1-10m),Stem / Trunk,Radial,Fibrous,Scaly,Copper,N/A,Flaky,Green & Yellow,Spotted,Scaly,Yellow,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Undulate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Pairs (2),Flaky,Green,N/A,Seeds,Nut,Animal,Single,Funnel,Avg. (1-5cm),Wavy,Scaly,Regular Interval,None,Poly-Annual (2-7 Years),Scaly,Copper,Patches,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Fungicide,Non-Edible,N/A,N/A,Medicinal / Other,Decoction,Abortifacient,
Woody,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Fibrous,Scaly,Green,N/A,Rough,Grey,N/A,Smooth,Blue & Green,Stripes,Broad,Branch Points,Ovate (Egg Wide at Base),Crenate,Scaly,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Rough,Green,N/A,Seeds,Nut,Water,Single,Cone,Small (5-10mm),Round,Velvety,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Green,Solid,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Edible,Dried,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Rhizoid,Waxy,Blue,N/A,Smooth,Orange,N/A,Waxy,Green,N/A,Compound,Terminal,Deltoid (Triangular),Smooth,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1) & Whorls (3-5),Waxy,Yellow,N/A,Budding / Fragmentation,Grain,Wind,Spray,Sphere,Small (5-10mm),Oval,Veined,Random Interval,Other / Specific,Perennial (Yearly),Flaky,Green,Stripes,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Poultice,Bitter Tonic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Edible,Raw,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Green,N/A,Smooth,Red,N/A,Waxy,Green,N/A,Broad,Stem / Trunk,Deltoid (Triangular),Dentate,Waxy,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Waxy,Yellow,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Decoction,Re-Roll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Emmenagogue,Medicinal / Other,Bath,Bitter Tonic,
Herbaceous,Avian,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Fibrous,Scaly,Violet,N/A,Smooth,Yellow,N/A,Waxy,Brown,N/A,Broad,Random Interval,Truncate (Squared off Apex),Denticulate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Smooth,Green,N/A,Seeds,Fruit,Water,Spray,Cone,Avg. (1-5cm),Curly,Velvety,Terminal,Foul,Annual (Once),Other,Green,Stripes,1-3,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Ground,Detergent,Medicinal / Other,Crushed,Purgative,N/A,N/A,N/A,Edible,Raw,N/A,Nutritious / Tasty,Steeped,N/A,
Herbaceous,Aquatic,Brackish,Uncommon,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,Random,Fibrous,Smooth,Green,N/A,Smooth,Red,N/A,Other,Yellow,N/A,Broad,Terminal,Flabellate (Fan Shaped),Undulate,Scaly,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Yellow,N/A,Budding / Fragmentation,Fruit,Animal,Spray,Disc,Large (5-10cm),Oval,Hairy,Branch Points & Random Interval,Other / Specific,Annual (Once),Rough,Yellow,Solid,4-9,1,Decay,Light,Non-Sentient,N/A,Nutritious / Tasty,Boiled,N/A,Medicinal / Other,Fomentation,Vermicide,Edible,Boiled,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Grated,Mysical / Other,
Woody,Terrestrial,Forest / Jungle,Rare,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Tap,Waxy,Green,N/A,Waxy,Red,N/A,Scaly,Blue,N/A,Compound,Terminal,Lanceolate (Pointed at Both Ends),Denticulate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Singles (1),Rough,Black,N/A,Seeds,Grain,Other,Other,Funnel,Large (5-10cm),Toothed,Smooth,Random Interval,None,Perennial (Yearly),Smooth,Brown,Phases,0,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Steeped,N/A,Nutritious / Tasty,Roasted,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Ground,Nauseant,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,None,Fibrous,Smooth,Violet,N/A,Smooth,Green,N/A,Smooth,Orange,N/A,Blades,Terminal,Palmate (Hand-Like),Sinuate,Error: Roll Out of Range,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Waxy,Brown,N/A,Seeds,Spore,Animal,Pairs,Cone,Tiny (<5mm),Blade,Scaly,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Copper,Spotted,4-9,2-4,Decay,None,Non-Sentient,N/A,Medicinal / Other,Cold Compress,Diuretic,Medicinal / Other,Crushed,Vermifuge,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Medicinal / Other & Medicinal / Other,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Rare,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Flaky,Grey,N/A,Rough,Blue,N/A,Rough,Yellow,N/A,Compound,Random Interval,Acuminate (Taper to Long Point),Ciliate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Violet,N/A,Seeds,Grain,Animal,Compound,Complex,Avg. (1-5cm),Curly,Waxy,Stem / Trunk,Sweet,Annual (Once),Smooth,Yellow,Solid,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Fomentation,Alterative,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Nauseant,Edible,Dried,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Mountains,Uncommon,Large Patch (120+),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Orange,N/A,Smooth,Red,N/A,Smooth,Brown,N/A,Broad,Branch Points,Acuminate (Taper to Long Point),Ciliate,VelvetyDusty,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Smooth,Blue,N/A,Seeds,Fruit,Animal,Single,Funnel,Avg. (1-5cm),Toothed,Velvety,Branch Points,Foul,Other,Smooth,Green,Translucent,4-9,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Ground,Appetizer,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Medicinal / Other,Fomentation,Coagulant,
Herbaceous,Terrestrial,Forest / Jungle & Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Rough,Violet,N/A,Smooth,Gold,N/A,Waxy,Yellow,N/A,Blades,Regular Interval,Elliptic (Oval Small or No Point),Lobate,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Grey,N/A,Seeds,Fruit,Water,Pairs,Complex,Avg. (1-5cm),Wavy,Scaly,Regular Interval,Sweet,Annual (Once),Smooth,Black,Solid,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Crushed,Antihydrotic,Edible,Raw,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Rubefacient,Medicinal / Other,Fomentation,Re-Roll,
Woody,Terrestrial,Forest / Jungle & Plains / Savannah,Common,Large Patch (120+),Large (1-10m),Stem / Trunk,Radial,Fibrous,Scaly,Gold,N/A,Scaly,Green,N/A,Smooth,Green,N/A,Compound,Branch Points,Subulate (Awl),Smooth,Hairy,Arcute (Secondary Veins Bending Towards Apex),Pairs (2),Scaly,Green,N/A,Budding / Fragmentation,Fruit,Animal,Compound,Spike,Avg. (1-5cm),Toothed,Smooth,Terminal,None,Annual (Once),Scaly,Green,Luminescent,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Tincture,Appetizer,Edible,Dried,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Steeped,N/A,Non-Edible,N/A,N/A,
Algae,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,Random,Advantageous,Smooth,Silver,N/A,Smooth,Green,N/A,Scaly,Yellow,N/A,None,Stem / Trunk,Linear (Parallel Margins & Elongate),Undulate,Scaly,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Green,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Forest / Jungle,Rare,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Rhizoid,Smooth,Green,N/A,Smooth,Yellow,N/A,Other,Red,N/A,Scales,Terminal,Truncate (Squared off Apex),Lobate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Waxy,Green,N/A,Budding / Fragmentation,Spore,Wind,Bunches,Complex,Avg. (1-5cm),Blade,Velvety,Stem / Trunk,Sweet,Poly-Annual (2-7 Years),Flaky,Silver,Solid,4-9,5+,Decay,Touch,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Waxy,Yellow,N/A,Smooth,Black,N/A,Smooth,Violet,N/A,Compound,Stem / Trunk,Poly-Foliate (2-7 Leaflets),Serrulate,Sticky,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Smooth,Red,N/A,Suckers,Spore,Wind,Other,Sphere,Small (5-10mm),Wavy,Smooth,Random Interval,Foul,Annual (Once),Smooth,Gold,Mimicry,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Antifungal,Non-Edible,N/A,N/A,
Woody,Terrestrial,Mountains,Common,Large Patch (120+),Large (1-10m),Stem / Trunk,Random,Fibrous,Rough,White,N/A,Scaly,Green,N/A,Rough,Green,N/A,Broad,Stem / Trunk,Flabellate (Fan Shaped),Undulate,Smooth,None,Clusters (6+),Rough,White,N/A,Seeds,Nut,Gravity,Spray,Disc,Tiny (<5mm),Oval,Veined,Random Interval,Sweet,Perennial (Yearly),Smooth,Brown,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Poultice,Anticoagulant,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Aperient,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog & Plains / Savannah,Rare,Small Patch (1-12),Small (5-25cm),Stem / Trunk,None,Fibrous,Waxy,Grey & Silver,Stripes,Smooth,Yellow,N/A,Waxy,Silver,N/A,Compound,Stem / Trunk,Rhomboid (Diamond),Spiny,Smooth,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Other,Green,N/A,Seeds,Fruit,Wind,Single,Bell,Tiny (<5mm),Wavy,Smooth,Regular Interval & Terminal,Sweet,Annual (Once),Waxy,Blue,Translucent,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Other,Mysical / Other,Medicinal / Other,Bath,Acrid,N/A,N/A,N/A,Medicinal / Other,Infusion,Poison,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Rare,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Tap,Other,Violet,N/A,Smooth,Gold,N/A,Waxy,Green,N/A,Broad,Branch Points,Digitate (Finger-Like Lobes),Sinuate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Brown,N/A,Seeds,Grain,Wind,Bunches,Bell,Avg. (1-5cm),Wavy & Oval,Smooth,Terminal,Sweet,Perennial (Yearly),Waxy,Green & Blue,Spotted,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Poultice,Anesthetic,Edible,Blanched,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,Radial,Tap,Smooth,Orange,N/A,Scaly,Green,N/A,Smooth,Yellow,N/A,Broad,Terminal,Lanceolate (Pointed at Both Ends),Smooth,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Scaly,Yellow,N/A,Seeds,Nut,Gravity,Spray,Complex,Avg. (1-5cm),Blade,Dusty & Waxy,Branch Points,Sweet,Annual (Once),Flaky,Silver,Stripes,0,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Essence,Laxative,Non-Edible,N/A,N/A,
